target_name,compound_iso_smiles,affinity
GABRP,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,1
GABRQ,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,1
GABRA1,CCC(O)(\C=C\Cl)C#C,1
GABRA2,CCC(O)(\C=C\Cl)C#C,1
GABRA3,CCC(O)(\C=C\Cl)C#C,1
GABRA4,CCC(O)(\C=C\Cl)C#C,1
GABRA5,CCC(O)(\C=C\Cl)C#C,1
GABRA6,CCC(O)(\C=C\Cl)C#C,1
GABRB1,CCC(O)(\C=C\Cl)C#C,1
GABRB2,CCC(O)(\C=C\Cl)C#C,1
GABRB3,CCC(O)(\C=C\Cl)C#C,1
GABRD,CCC(O)(\C=C\Cl)C#C,1
GABRE,CCC(O)(\C=C\Cl)C#C,1
GABRG1,CCC(O)(\C=C\Cl)C#C,1
GABRG2,CCC(O)(\C=C\Cl)C#C,1
GABRG3,CCC(O)(\C=C\Cl)C#C,1
GABRP,CCC(O)(\C=C\Cl)C#C,1
GABRQ,CCC(O)(\C=C\Cl)C#C,1
GRIN1,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
GRIN2A,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
GRIN2B,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
GRIN2C,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
GRIN2D,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
GRIN3A,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
GRIN3B,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0
ADRA2A,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,1
ADRA2B,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,1
ADRA2C,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,1
PDE1A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE1B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE1C,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE10A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE4A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE4B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE4C,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE4D,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE7B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE2A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE3A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE3B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE5A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE6C,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE11A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE7A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE8A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE8B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE9A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE6A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE6B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
ITPR3,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE1B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE4D,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE3B,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
PDE5A,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
ADRA2A,CN\C(NCC1=CC=CC=C1)=N/C,1
ADRA2B,CN\C(NCC1=CC=CC=C1)=N/C,1
ADRA2C,CN\C(NCC1=CC=CC=C1)=N/C,1
ADRB1,CN\C(NCC1=CC=CC=C1)=N/C,0
ADRB2,CN\C(NCC1=CC=CC=C1)=N/C,0
ADRB3,CN\C(NCC1=CC=CC=C1)=N/C,0
GABRA1,FC(F)OC(F)(F)C(F)Cl,1
GABRA2,FC(F)OC(F)(F)C(F)Cl,1
GABRA3,FC(F)OC(F)(F)C(F)Cl,1
GABRA4,FC(F)OC(F)(F)C(F)Cl,1
GABRA5,FC(F)OC(F)(F)C(F)Cl,1
GABRA6,FC(F)OC(F)(F)C(F)Cl,1
GABRB1,FC(F)OC(F)(F)C(F)Cl,1
GABRB2,FC(F)OC(F)(F)C(F)Cl,1
GABRB3,FC(F)OC(F)(F)C(F)Cl,1
GABRD,FC(F)OC(F)(F)C(F)Cl,1
GABRE,FC(F)OC(F)(F)C(F)Cl,1
GABRG1,FC(F)OC(F)(F)C(F)Cl,1
GABRG2,FC(F)OC(F)(F)C(F)Cl,1
GABRG3,FC(F)OC(F)(F)C(F)Cl,1
GABRP,FC(F)OC(F)(F)C(F)Cl,1
GABRQ,FC(F)OC(F)(F)C(F)Cl,1
GRIN1,FC(F)OC(F)(F)C(F)Cl,0
GRIN2A,FC(F)OC(F)(F)C(F)Cl,0
GRIN2B,FC(F)OC(F)(F)C(F)Cl,0
GRIN2C,FC(F)OC(F)(F)C(F)Cl,0
GRIN2D,FC(F)OC(F)(F)C(F)Cl,0
GRIN3A,FC(F)OC(F)(F)C(F)Cl,0
GRIN3B,FC(F)OC(F)(F)C(F)Cl,0
GABRA1,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRA2,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRA3,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRA4,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRA5,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRA6,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRB1,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRB2,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRB3,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRD,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRE,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRG1,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRG2,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRG3,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRP,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRQ,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,1
GABRA1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRA2,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRA3,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRA4,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRA5,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRA6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRB1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRB2,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRB3,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRD,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRE,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRG1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRG2,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRG3,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRP,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
GABRQ,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
CHRNA10,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA2,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA3,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA4,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA5,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA7,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNA9,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNB2,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNB3,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
CHRNB4,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
GABRA1,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRA2,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRA3,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRA4,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRA5,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRA6,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRB1,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRB2,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRB3,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRD,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRE,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRG1,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRG2,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRG3,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRP,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
GABRQ,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1
SCN1A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN10A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN11A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN2A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN3A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN4A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN5A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN7A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN8A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN9A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN1B,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN2B,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN3B,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
SCN4B,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
KCNJ12,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
KCNJ14,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
KCNJ2,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
KCNJ4,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNA1C,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNA1D,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNA1F,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNA1S,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNB1,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNB2,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNB3,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
CACNB4,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
ADRA1A,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
ADRA1B,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
ADRA1D,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0
HTR3A,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0
HTR3B,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0
HTR3C,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0
HTR3D,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0
HTR3E,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0
DRD1,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,1
DRD5,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,1
CACNA1C,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNA1D,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNA1F,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNA1S,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNB1,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNB2,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNB3,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNB4,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CACNA1A,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0
ADRA1A,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0
ADRA1B,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0
ADRA1D,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0
ADRA2A,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0
ADRA2B,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0
ADRA2C,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0
SCN1A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN10A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN11A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN2A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN3A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN4A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN5A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN7A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN8A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
SCN9A,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
GRIK1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
GRIK2,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
GRIK3,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
GRIK4,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
GRIK5,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNA1C,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNA1D,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNA1F,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNA1S,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNB1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNB2,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
CACNB3,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0
